00119993-s	perked_up.s.01
00120132-a	unenlivened.a.01
00120252-a	animate.a.01
00120411-a	inanimate.a.01
00120574-a	anonymous.a.01
00120784-s	nameless.s.01
00121034-a	onymous.a.01
00121183-s	binomial.s.02
00121376-s	pseudonymous.s.01
00121552-a	antemortem.a.01
00121649-a	postmortem.a.01
00121865-a	antecedent.a.01
00122128-s	anterior.s.02
00122245-s	anticipatory.s.01
00122386-s	preexistent.s.01
00122626-a	subsequent.a.01
00122844-s	attendant.s.02
00123485-s	later.s.01
00123653-a	antrorse.a.01
00123804-a	retrorse.a.01
00123961-s	decurved.s.01
00124077-a	aquatic.a.02
00124353-s	marine.s.05
00124493-s	semiaquatic.s.02
00124685-s	subaqueous.s.01
00124918-a	terrestrial.a.03
00125068-s	onshore.s.02
00125170-s	overland.s.01
00125319-a	amphibious.a.02
00125553-s	amphibiotic.s.01
00125711-a	preceding.a.01
00125993-s	above.s.01
00126116-s	above-mentioned.s.01
00126235-s	foregoing.s.01
00126339-s	introductory.s.03
00126497-s	precedent.s.01
00126702-s	premedical.s.02
00126830-s	preparatory.s.01
00127137-s	previous.s.01
00127296-a	succeeding.a.01
00127543-s	back-to-back.s.01
00127661-s	ensuing.s.01
00127815-s	following.s.01
00127948-s	following.s.02
00128137-s	in_line.s.01
00128262-s	postmortem.s.02
00128467-a	precedented.a.01
00128572-a	unprecedented.a.01
00128733-s	new.s.04
00128882-a	prehensile.a.01
00129029-a	nonprehensile.a.01
00129103-a	prenatal.a.01
00129276-a	perinatal.a.01
00129467-a	postnatal.a.01
00129612-a	preprandial.a.01
00129729-a	postprandial.a.01
00129878-a	prewar.a.01
00130017-a	postwar.a.01
00130151-a	retrograde.a.02
00130281-a	anterograde.a.01
00130412-a	antemeridian.a.01
00130518-s	ante_meridiem.s.01
00130596-a	postmeridian.a.01
00130701-s	post_meridiem.s.01
00130778-a	anterior.a.01
00131018-s	frontal.s.01
00131176-s	frontal.s.04
00131297-s	prefrontal.s.01
00131426-a	posterior.a.01
00131692-s	back.s.02
00131863-s	caudal.s.03
00132040-s	retral.s.02
00132127-a	dorsal.a.01
00132385-a	ventral.a.01
00132754-s	dorsoventral.s.01
00132849-a	appealable.a.01
00133065-a	unappealable.a.01
00133259-a	appendaged.a.01
00133335-a	unappendaged.a.01
00133417-a	appetizing.a.01
00133669-s	mouth-watering.s.01
00133851-a	unappetizing.a.01
00134060-a	approachable.a.02
00134251-s	accessible.s.04
00134401-a	unapproachable.a.01
00134562-s	offish.s.01
00134701-a	appropriate.a.01
00135092-s	befitting.s.01
00135193-s	grade-appropriate.s.01
00135342-s	pat.s.02
00135455-s	proper.s.04
00135718-a	inappropriate.a.01
00136081-s	unbefitting.s.01
00136185-s	improper.s.03
00136354-a	due.a.01
00136589-s	callable.s.01
00136727-s	collect.s.01
00136884-s	collectible.s.01
00137120-s	delinquent.s.03
